phone_name,brand,os,inches,resolution,battery,battery_type,ram,announcement_date,weight,video,internal,price
Huawei Y7 Prime,Huawei,Android 7.0,"5.5""",720x1280 pixels,4000,Li-Ion,3GB RAM,"2017, June",165 g (5.82 oz),1080p@30fps,32GB 3GB RAM,About 130 EUR
Huawei nova 2 plus,Huawei,Android 7.0,"5.5""",1080x1920 pixels,3340,Li-Po,4GB RAM,"2017, May",169 g (5.96 oz),1080p@30fps,"64GB 4GB RAM, 128GB 4GB RAM",About 160 EUR
Huawei nova 2,Huawei,Android 7.0,"5.0""",1080x1920 pixels,2950,Li-Po,4GB RAM,"2017, May",143 g (5.04 oz),1080p@30fps,64GB 4GB RAM,About 140 EUR
Huawei Y6II Compact,Huawei,Android 5.1,"5.0""",720x1280 pixels,2200,Li-Po,2GB RAM,"2016, September",140 g (4.94 oz),720p@30fps,16GB 2GB RAM,About 120 EUR
Huawei Y7,Huawei,Android 7.0,"5.5""",720x1280 pixels,4000,Li-Ion,2GB RAM,"2017, May",165 g (5.82 oz),1080p@30fps,16GB 2GB RAM,About 90 EUR
Huawei Y6 (2017),Huawei,Android 6.0,"5.0""",720x1280 pixels,3000,Li-Ion,2GB RAM,"2017, May",150 g (5.29 oz),1080p@30fps,16GB 2GB RAM,About 240 EUR
Huawei Y5 (2017),Huawei,Android 6.0,"5.0""",720x1280 pixels,3000,Li-Ion,2GB RAM,"2017, April",150 g (5.29 oz),1080p@30fps,16GB 2GB RAM,About 280 EUR
Huawei Y3 (2017),Huawei,Android 6.0,"5.0""",480x854 pixels,2200,Li-Ion,1GB RAM,"2017, May",175 g (6.17 oz),720p@30fps,"8GB 1GB RAM, 32GB 1GB RAM",About 230 EUR
Huawei P10 Plus,Huawei,Android 7.0,"5.5""",1440x2560 pixels,3750,Li-Ion,4/6GB RAM,"2017, February",165 g (5.82 oz),"4K@30fps, 1080p@60fps","64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM",About 170 EUR
Huawei P10,Huawei,Android 7.0,"5.1""",1080x1920 pixels,3200,Li-Ion,4GB RAM,"2017, February",145 g (5.11 oz),"4K@30fps, 1080p@60fps","32GB 4GB RAM, 64GB 4GB RAM",About 420 EUR
Huawei P10 Lite,Huawei,Android 7.0,"5.2""",1080x1920 pixels,3000,Li-Po,3/4GB RAM,"2017, February",146 g (5.15 oz),1080p@30fps,"32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM",About 420 EUR
Huawei P8 Lite (2017),Huawei,Android 7.0,"5.2""",1080x1920 pixels,3000,Li-Ion,3/4GB RAM,"2017, January",147 g (5.19 oz),1080p@30fps,"16GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM",About 420 EUR
