phone_name,brand,os,inches,resolution,battery,battery_type,ram,announcement_date,weight,video,internal,price
vivo S12 Pro,Vivo,Android 11,"6.56""",1080x2400 pixels,4300,Li-Po,8/12GB RAM,"2021, December 22",171 g (6.03 oz),"4K@30fps, 1080p@30fps, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",About 140 EUR
vivo S12,Vivo,Android 11,"6.44""",1080x2400 pixels,4200,Li-Po,8/12GB RAM,"2021, December 22",179 g or 181 g (6.31 oz),"4K@30fps, 1080p@30fps, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",About 210 EUR
vivo iQOO Neo5 S,Vivo,Android 11,"6.62""",1080x2400 pixels,4500,Li-Po,8/12GB RAM,"2021, December 20",196 g (6.91 oz),"4K@30fps, 1080p@30fps","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",About 350 EUR
vivo iQOO Neo5 SE,Vivo,Android 11,"6.67""",1080x2400 pixels,4500,Li-Po,8/12GB RAM,"2021, December 20",189 g (6.67 oz),"4K@30fps, 1080p@30fps","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",€ 209.00
vivo Y32,Vivo,Android 11,"6.51""",720x1600 pixels,5000,Li-Po,4-8GB RAM,"2021, December 18",182 g (6.42 oz),1080p@30fps,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 330 EUR
vivo Y55s (2021),Vivo,Android 11,"6.58""",1080x2408 pixels,6000,Li-Po,6/8GB RAM,"2021, December 04",199.8 g (7.05 oz),1080p@30fps,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 190 EUR
vivo V23e 5G,Vivo,Android 11,"6.44""",1080x2400 pixels,4050,Li-Po,8GB RAM,"2021, November 23",172 g (6.07 oz),"4K@30fps, 1080p@30fps, gyro-EIS",128GB 8GB RAM,About 140 EUR
vivo Y76 5G,Vivo,Android 11,"6.58""",1080x2408 pixels,4100,Li-Po,8GB RAM,"2021, November 23",175 g (6.17 oz),"1080p@30fps, gyro-EIS",128GB 8GB RAM,About 320 EUR
vivo V23e,Vivo,Android 11,"6.44""",1080x2400 pixels,4050,Li-Po,8GB RAM,"2021, November 09",172 g (6.07 oz),"4K@30fps, 1080p@30fps, gyro-EIS",128GB 8GB RAM,About 240 EUR
vivo Y50t,Vivo,Android 10,"6.53""",1080x2340 pixels,4500,Li-Po,8GB RAM,"2021, November 16",190 g (6.70 oz),"4K@30fps, 1080p@30/60fps; gyro-EIS",128GB 8GB RAM,About 120 EUR
vivo Y15a,Vivo,Android 11,"6.51""",720x1600 pixels,5000,Li-Po,4GB RAM,"2021, November 15",179 g (6.31 oz),1080p@30fps,64GB 4GB RAM,About 240 EUR
vivo Y74s,Vivo,Android 11,"6.58""",1080x2408 pixels,4100,Li-Po,8GB RAM,"2021, November 22",175 g (6.17 oz),1080p@30fps,256GB 8GB RAM,About 220 EUR
vivo Y76s,Vivo,Android 11,"6.58""",1080x2408 pixels,4100,Li-Po,8/12GB RAM,"2021, November 10",175 g (6.17 oz),1080p@30fps,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",About 230 EUR
vivo Y15s,Vivo,Android 11,"6.51""",720x1600 pixels,5000,Li-Po,3/4GB RAM,"2021, November 09",179 g (6.31 oz),1080p@30fps,"32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM",About 300 EUR
